,state,state_po,state_fips,state_cen,state_ic,candidate,party_detailed,writein,candidatevotes,totalvotes,version,party_simplified
33,CALIFORNIA,CA,6,93,71,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,11110250,17500881,20210113,DEMOCRAT
34,CALIFORNIA,CA,6,93,71,"TRUMP, DONALD J.",REPUBLICAN,FALSE,6006429,17500881,20210113,REPUBLICAN
35,CALIFORNIA,CA,6,93,71,"JORGENSEN, JO",LIBERTARIAN,FALSE,187895,17500881,20210113,LIBERTARIAN
36,CALIFORNIA,CA,6,93,71,"HAWKINS, HOWIE",GREEN,FALSE,81029,17500881,20210113,OTHER
37,CALIFORNIA,CA,6,93,71,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN INDEPENDENT,FALSE,60160,17500881,20210113,OTHER
38,CALIFORNIA,CA,6,93,71,"LA RIVA, GLORIA ESTELLA",PEACE & FREEDOM,FALSE,51037,17500881,20210113,OTHER
39,CALIFORNIA,CA,6,93,71,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,TRUE,2605,17500881,20210113,OTHER
40,CALIFORNIA,CA,6,93,71,"JANOS, JAMES G. ""JESSE VENTURA""",INDEPENDENT,TRUE,611,17500881,20210113,OTHER
41,CALIFORNIA,CA,6,93,71,MARK CHARLES,INDEPENDENT,TRUE,559,17500881,20210113,OTHER
42,CALIFORNIA,CA,6,93,71,"PIERCE, BROCK",INDEPENDENT,TRUE,185,17500881,20210113,OTHER
43,CALIFORNIA,CA,6,93,71,JOSEPH KISHORE,INDEPENDENT,TRUE,121,17500881,20210113,OTHER
