,Title,Vote_Average
0,Spider-Man: No Way Home,8.3
1,The Batman,8.1
2,No Exit,6.3
3,Encanto,7.7
4,The King's Man,7.0
5,The Commando,6.6
6,Scream,6.8
7,Kimi,6.3
8,Fistful of Vengeance,5.3
9,Eternals,7.2
10,Pursuit,5.9
11,My Hero Academia: World Heroes' Mission,7.3
12,Restless,5.9
13,Nightmare Alley,7.1
14,The Ice Age Adventures of Buck Wild,7.1
15,Hotel Transylvania: Transformania,7.0
16,Texas Chainsaw Massacre,5.1
17,The Requin,4.6
18,Looop Lapeta,6.0
19,Red Notice,6.8
20,Sing 2,8.2
21,The Jack in the Box: Awakening,5.4
22,Venom: Let There Be Carnage,7.1
23,The Matrix Resurrections,6.8
24,Resident Evil: Welcome to Raccoon City,6.1
25,Last Man Down,6.3
26,American Siege,5.4
27,Uncharted,7.1
28,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.4
29,Ghostbusters: Afterlife,7.7
30,The 355,6.1
31,Shang-Chi and the Legend of the Ten Rings,7.7
32,Marry Me,6.9
33,The Hunting,5.8
34,West Side Story,7.4
35,Through My Window,7.8
36,The Seven Deadly Sins: Cursed by Light,8.0
37,One Shot,6.8
38,Tom and Jerry: Cowboy Up!,7.1
39,Chernobyl: Abyss,6.2
40,Desperate Riders,6.8
41,Clifford the Big Red Dog,7.3
42,Tyler Perry's A Madea Homecoming,6.7
43,The Boss Baby: Family Business,7.6
44,Turning Red,8.6
45,Brazen,4.8
46,The House,7.1
47,Blacklight,5.1
48,Ron's Gone Wrong,8.1
49,Free Guy,7.7
50,Cruella,8.2
51,The Suicide Squad,7.7
52,The Simpsons in Plusaversary,6.6
53,Forgive Us Our Trespasses,6.3
54,Luca,8.0
55,Mortal Kombat,7.2
56,Zack Snyder's Justice League,8.3
57,Mother/Android,5.8
58,Exploits of a Young Don Juan,5.5
59,Dune,7.9
60,The Last Warrior: Root of Evil,7.1
61,The Privilege,5.1
62,Queen of Spades,6.4
63,Antlers,6.4
64,Dangerous,6.4
65,After We Fell,7.2
66,No Time to Die,7.5
67,Sooryavanshi,5.8
68,Finch,8.1
69,Two,5.4
70,PAW Patrol: The Movie,7.5
71,Avengers: Infinity War,8.3
72,Batman,7.2
73,Black Widow,7.5
74,The Wonderful Winter of Mickey Mouse,5.7
75,F9,7.3
76,Moonfall,5.9
77,"Sex, Shame and Tears 2",2.2
78,Diary of a Wimpy Kid,6.5
79,AI Love You,5.3
80,Sonic the Hedgehog 2,0.0
81,Erax,5.7
82,Deathstroke: Knights & Dragons - The Movie,6.9
83,The Last Duel,7.6
84,The Pirates: The Last Royal Treasure,6.6
85,Paranormal Activity: Next of Kin,6.5
86,House of Gucci,6.8
87,Dark Spell,6.7
88,Jungle Cruise,7.6
89,Godzilla vs. Kong,7.8
90,The Amazing Spider-Man,6.7
91,Heart Shot,5.6
92,Avatar,7.5
93,Mobile Suit Gundam Hathaway,7.8
94,Army of Thieves,6.9
95,UFO,5.2
96,The Weekend Away,5.9
97,The Croods: A New Age,7.6
98,Back to the Outback,7.7
99,The Tomorrow War,8.0
100,Home Team,6.9
101,The Fallout,7.4
102,Raya and the Last Dragon,8.0
103,Infinite,6.8
104,Wrath of Man,7.7
105,Fortress,6.2
106,Space Jam: A New Legacy,7.1
107,Laura y el misterio del asesino inesperado,7.3
108,The Conjuring: The Devil Made Me Do It,7.7
109,Batman Begins,7.7
110,The Royal Treatment,6.8
111,Ciao Alberto,7.5
112,Gone Mom: The Disappearance of Jennifer Dulos,7.8
113,Ripper Untold,6.6
114,Meander,6.1
115,Zeros and Ones,5.3
116,Snake Eyes: G.I. Joe Origins,6.8
117,Survive the Game,5.8
118,Riverdance: The Animated Adventure,5.2
119,Apex,5.4
120,The Tinder Swindler,7.1
121,Love Tactics,6.7
122,The Addams Family 2,7.2
123,Dynasty Warriors,6.5
124,Miraculous World: Shanghai – The Legend of Ladydragon,7.9
125,"Miraculous World: New York, United HeroeZ",8.3
126,Surviving Paradise: A Family Tale,6.9
127,My Hero Academia: Heroes Rising,8.4
128,Amina,6.5
129,Encounter,6.4
130,Son,6.0
131,Wonder Woman 1984,6.6
132,The Amazing Spider-Man 2,6.5
