invoice_number,invoice_time,store_id,product_id,category_id,num_item,price
10107,7/15/15 10:45,G816,7000300,210101,1,2
10121,7/15/15 12:16,G816,7070884,70203,1,2
10134,7/15/15 12:16,G816,7070884,70203,1,2
10145,7/15/15 12:16,G816,7070891,70401,1,6
10159,7/15/15 12:16,G816,7090363,70401,1,6
10168,7/15/15 14:10,G816,7000300,210101,1,2
10180,7/15/15 15:28,G816,7000126,210301,1,2
10188,7/15/15 16:20,G816,7308017,210101,1,3.5
10201,7/15/15 16:22,G816,15000231,70301,1,2
10211,7/15/15 16:24,G628,7000300,210101,1,2
10223,7/15/15 16:25,G816,7070884,70203,3,2
10237,7/15/15 16:39,G816,7070884,70203,1,2
10251,7/15/15 16:39,G816,7070884,70203,1,2
10263,7/15/15 16:39,G816,7071096,70201,1,5
10275,7/15/15 16:39,G816,7071096,70201,1,5
10285,7/15/15 17:11,G816,7000126,210301,1,2
10299,7/15/15 17:27,G628,7000133,210301,1,3
10309,7/15/15 18:06,G628,7000300,210101,1,2
10318,7/15/15 18:21,G816,7070884,70203,1,2
10329,7/15/15 18:21,G816,7071133,70301,1,2
10341,7/15/15 18:21,G816,7000300,210101,1,2
10361,7/15/15 18:29,G816,7090363,70401,1,6
10375,7/15/15 19:36,G816,7000126,210301,2,2
10388,7/15/15 20:03,G816,7314599,70101,2,1.5
10403,7/15/15 20:03,G816,7071096,70201,1,5
10417,7/15/15 20:04,G816,7000294,210101,1,1.5
10103,7/15/15 20:06,G628,7308017,210101,1,3.5
10112,7/15/15 21:33,G628,7308017,210101,1,3.5
10126,7/15/15 22:21,G816,7000300,210101,1,2
10140,7/16/15 0:11,G628,7000126,210301,1,2
10150,7/16/15 0:22,G628,7000133,210301,1,3
10163,7/16/15 0:44,G628,7000126,210301,2,2
10174,7/16/15 0:44,G628,7000300,210101,1,2
10183,7/16/15 0:56,G628,7308017,210101,1,3.5
10194,7/16/15 7:59,G816,7313684,70101,3,2.5
10206,7/16/15 8:08,G816,7071133,70301,1,2
10215,7/16/15 8:08,G816,7071218,70101,1,3
